,trial,start_time,rt,correct,fact_id,question,answer,alpha,new,audio_visual_chance,visual_chance,audio_or_visual_fact,fact_id,audio_visual_chance,visual_chance,audio_or_visual_fact,fact_id,correct_audio_visual,wrong_audio_visual,correct_visual,wrong_visual
0,1,28762.598655000147,5613.380899000731,False,1,car,carro,0.3,True,0.5,0.5,Visual,1,0.5,0.5,Visual,1,0,0,0,0
1,2,36950.99882900013,861.9195510000282,True,1,car,carro,0.3,False,0.5,0.5,Visual,1,0.5,0.5,Visual,1,0,0,0,0
2,3,40143.29863000057,2922.089435000089,True,2,visit,visita,0.3,True,0.5,0.5,Audio,2,0.5,0.5,Audio,2,0,0,0,0
3,4,48903.384728000674,1156.8124559998978,True,2,visit,visita,0.3,False,0.5,0.5,Audio,2,0.5,0.5,Audio,2,0,0,0,0
4,5,52375.77112300005,1649.402519999967,True,3,bread,pao,0.3,True,0.5,0.5,Visual,3,0.5,0.5,Visual,3,0,0,0,0
5,6,57208.054273000016,1762.1442380004737,True,4,blood,sangue,0.3,True,0.5,0.5,Audio,4,0.5,0.5,Audio,4,0,0,0,0
6,7,61024.12901400021,1194.9352980000183,True,3,bread,pao,0.3,False,0.5,0.5,Visual,3,0.5,0.5,Visual,3,0,0,0,0
7,8,64095.907040000384,1049.8958609996407,True,4,blood,sangue,0.3,False,0.5,0.5,Audio,4,0.5,0.5,Audio,4,0,0,0,0
8,9,67052.41960500006,1380.4819150000258,True,5,insect,inseto,0.3,True,0.5,0.5,Visual,5,0.5,0.5,Visual,5,0,0,0,0
9,10,71047.67472800086,1343.8560309996246,True,6,exam,exame,0.3,True,0.5,0.5,Visual,6,0.5,0.5,Visual,6,0,0,0,0
10,11,74630.26089100004,1019.7542350006116,True,5,insect,inseto,0.3,False,0.5,0.5,Visual,5,0.5,0.5,Visual,5,0,0,0,0
11,12,77817.07693100089,773.9907609993534,True,6,exam,exame,0.3,False,0.5,0.5,Visual,6,0.5,0.5,Visual,6,0,0,0,0
12,13,80593.63039800065,1112.4416630000196,True,7,elevator,elevador,0.3,True,0.5,0.5,Visual,7,0.5,0.5,Visual,7,0,0,0,0
13,14,84923.56942800051,1411.53534499972,True,1,car,carro,0.250390625,False,0.5,0.5,Visual,1,0.5,0.5,Visual,1,0,0,0,0
14,15,88159.05080200083,901.5339949992194,True,7,elevator,elevador,0.3,False,0.5,0.5,Visual,7,0.5,0.5,Visual,7,0,0,0,0
15,16,91612.32949800068,1069.262623999748,True,8,industry,industria,0.3,True,0.5,0.5,Visual,8,0.5,0.5,Visual,8,0,0,0,0
16,17,98294.621258,945.84130200019,True,2,visit,visita,0.250390625,False,0.5,0.5,Audio,2,0.5,0.5,Audio,2,0,0,0,0
17,18,101258.66130800024,783.0087610000191,True,8,industry,industria,0.3,False,0.5,0.5,Visual,8,0.5,0.5,Visual,8,0,0,0,0
18,19,105601.17564600022,1975.022153999831,True,9,employee,empregado,0.3,True,0.5,0.5,Audio,9,0.5,0.5,Audio,9,0,0,0,0
19,20,110290.11078000076,1149.3914469992887,True,3,bread,pao,0.250390625,False,0.5,0.5,Visual,3,0.5,0.5,Visual,3,0,0,0,0
20,21,113359.4332270004,1057.554334999615,True,9,employee,empregado,0.3,False,0.5,0.5,Audio,9,0.5,0.5,Audio,9,0,0,0,0
21,22,116835.89134400064,1020.4391979996144,True,4,blood,sangue,0.250390625,False,0.5,0.5,Audio,4,0.5,0.5,Audio,4,0,0,0,0
22,23,119727.96897800072,inf,True,10,virus,virus,0.3,True,0.5,0.5,Audio,10,0.5,0.5,Audio,10,0,0,0,0
23,24,124612.89892100012,965.4187790001744,True,5,insect,inseto,0.250390625,False,0.5,0.5,Visual,5,0.5,0.5,Visual,5,0,0,0,0
24,25,127752.34138000089,792.8871979993419,True,10,virus,virus,0.3,False,0.5,0.5,Audio,10,0.5,0.5,Audio,10,0,0,0,0
25,26,130336.84019900011,730.5003680003138,True,6,exam,exame,0.250390625,False,0.5,0.5,Visual,6,0.5,0.5,Visual,6,0,0,0,0
26,27,132937.97877400083,1264.319478999823,True,11,dinner,jantar,0.3,True,0.5,0.5,Audio,11,0.5,0.5,Audio,11,0,0,0,0
27,28,137149.64317900012,845.4672370007611,True,7,elevator,elevador,0.250390625,False,0.5,0.5,Visual,7,0.5,0.5,Visual,7,0,0,0,0
28,29,140332.6827940009,829.0975059999328,True,11,dinner,jantar,0.3,False,0.5,0.5,Audio,11,0.5,0.5,Audio,11,0,0,0,0
29,30,143102.70577200025,1115.1843850002624,True,12,investment,investimento,0.3,True,0.5,0.5,Visual,12,0.5,0.5,Visual,12,0,0,0,0
30,31,149856.04545300067,913.028553999524,True,8,industry,industria,0.250390625,False,0.5,0.5,Visual,8,0.5,0.5,Visual,8,0,0,0,0
31,32,156115.82690500017,1031.7097349998369,True,12,investment,investimento,0.3,False,0.5,0.5,Visual,12,0.5,0.5,Visual,12,0,0,0,0
