,trial,start_time,rt,correct,fact_id,question,answer,alpha,new,audio_visual_chance,visual_chance,audio_or_visual_fact,fact_id,audio_visual_chance,visual_chance,audio_or_visual_fact,fact_id,correct_audio_visual,wrong_audio_visual,correct_visual,wrong_visual
0,1,20370.49720901996,1230.35525000887,True,1,car,carro,0.3,True,0.5,0.5,Audio,1,0.5,0.5,Audio,1,0,0,0,0
1,2,24970.34162498312,1966.0144590307027,True,1,car,carro,0.3,False,0.5,0.5,Audio,1,0.5,0.5,Audio,1,0,0,0,0
2,3,28553.21450001793,1857.142333989032,True,2,visit,visita,0.3,True,0.5,0.5,Audio,2,0.5,0.5,Audio,2,0,0,0,0
3,4,32558.837666991167,576.1324579943903,True,2,visit,visita,0.3,False,0.5,0.5,Audio,2,0.5,0.5,Audio,2,0,0,0,0
4,5,35944.78079199325,2052.5146669824608,True,3,bread,pao,0.3,True,0.5,0.5,Audio,3,0.5,0.5,Audio,3,0,0,0,0
5,6,41165.5352920061,1770.460958010517,True,4,blood,sangue,0.3,True,0.5,0.5,Visual,4,0.5,0.5,Visual,4,0,0,0,0
6,7,45567.87670898484,1399.942958028987,True,3,bread,pao,0.3,False,0.5,0.5,Audio,3,0.5,0.5,Audio,3,0,0,0,0
7,8,50242.4970419961,1290.8121250220574,True,4,blood,sangue,0.3,False,0.5,0.5,Visual,4,0.5,0.5,Visual,4,0,0,0,0
8,9,54338.11549999518,1621.393834007904,True,5,insect,inseto,0.3,True,0.5,0.5,Audio,5,0.5,0.5,Audio,5,0,0,0,0
9,10,57885.3953339858,718.7140000169165,True,6,exam,exame,0.3,True,0.5,0.5,Visual,6,0.5,0.5,Visual,6,0,0,0,0
10,11,61532.20750001492,979.6796669834292,True,5,insect,inseto,0.3,False,0.5,0.5,Audio,5,0.5,0.5,Audio,5,0,0,0,0
11,12,66917.0202499954,816.133834014181,True,6,exam,exame,0.3,False,0.5,0.5,Visual,6,0.5,0.5,Visual,6,0,0,0,0
12,13,70866.82233400643,2795.802749984432,False,1,car,carro,0.349609375,False,0.5,0.5,Audio,1,0.5,0.5,Audio,1,0,1,0,0
13,14,74725.55849998025,858.9803749928251,False,2,visit,visita,0.349609375,False,0.5,0.5,Audio,2,0.5,0.5,Audio,2,0,2,0,0
14,15,82079.89774999442,768.7189999851398,True,7,elevator,elevador,0.3,True,0.5,0.5,Audio,7,0.5,0.5,Audio,7,0,2,0,0
15,16,85820.94412500737,1294.6150840143673,True,8,industry,industria,0.3,True,0.5,0.5,Audio,8,0.5,0.5,Audio,8,0,2,0,0
16,17,91399.2575419834,755.8425420429558,True,7,elevator,elevador,0.3,False,0.5,0.5,Audio,7,0.5,0.5,Audio,7,0,2,0,0
17,18,95888.8137920294,2218.291832949035,True,8,industry,industria,0.3,False,0.5,0.5,Audio,8,0.5,0.5,Audio,8,0,2,0,0
