,trial,start_time,rt,correct,fact_id,question,answer,alpha,new,audio_visual_chance,visual_chance,audio_or_visual_fact,fact_id,audio_visual_chance,visual_chance,audio_or_visual_fact,fact_id,correct_audio_visual,wrong_audio_visual,correct_visual,wrong_visual
0,1,9260.779750009531,2076.658083999064,True,1,car,carro,0.3,True,0.5,0.5,Audio,1,0.5,0.5,Audio,1,0,0,0,0
1,2,13485.750499996357,579.8595419910271,True,1,car,carro,0.3,False,0.5,0.5,Audio,1,0.5,0.5,Audio,1,0,0,0,0
2,3,16334.749917004956,989.685874985298,True,2,visit,visita,0.3,True,0.5,0.5,Audio,2,0.5,0.5,Audio,2,0,0,0,0
3,4,19993.33679198753,455.6647080171388,True,2,visit,visita,0.3,False,0.5,0.5,Audio,2,0.5,0.5,Audio,2,0,0,0,0
4,5,23105.88729201117,1103.3801669836976,True,3,bread,pao,0.3,True,0.5,0.5,Visual,3,0.5,0.5,Visual,3,0,0,0,0
5,6,26541.974541993117,inf,True,4,blood,sangue,0.3,True,0.5,0.5,Audio,4,0.5,0.5,Audio,4,0,0,0,0
6,7,32005.995584011544,1291.6954579995945,True,3,bread,pao,0.3,False,0.5,0.5,Visual,3,0.5,0.5,Visual,3,0,0,0,0
7,8,35597.67429198837,800.9333329973742,True,4,blood,sangue,0.3,False,0.5,0.5,Audio,4,0.5,0.5,Audio,4,0,0,0,0
8,9,38697.31049999245,1090.0636670121455,True,5,insect,inseto,0.3,True,0.5,0.5,Visual,5,0.5,0.5,Visual,5,0,0,0,0
9,10,43264.99545900151,960.492374986643,True,6,exam,exame,0.3,True,0.5,0.5,Visual,6,0.5,0.5,Visual,6,0,0,0,0
10,11,46579.56391701009,757.6701669895556,True,5,insect,inseto,0.3,False,0.5,0.5,Visual,5,0.5,0.5,Visual,5,0,0,0,0
11,12,49737.77904198505,666.8741670146119,True,6,exam,exame,0.3,False,0.5,0.5,Visual,6,0.5,0.5,Visual,6,0,0,0,0
12,13,52716.26445898437,1102.8766660019755,True,7,elevator,elevador,0.3,True,0.5,0.5,Audio,7,0.5,0.5,Audio,7,0,0,0,0
13,14,58702.84574999823,1043.8112920091953,True,1,car,carro,0.250390625,False,0.5,0.5,Audio,1,0.5,0.5,Audio,1,0,0,0,0
