,trial,start_time,rt,correct,fact_id,question,answer,alpha,new,audio_visual_chance,visual_chance,audio_or_visual_fact,fact_id,audio_visual_chance,visual_chance,audio_or_visual_fact,fact_id,correct_audio_visual,wrong_audio_visual,correct_visual,wrong_visual
0,1,27849.82154198224,1270.6272920477204,True,1,car,carro,0.3,True,0.5,0.5,Audio,1,0.5,0.5,Audio,1,0,0,0,0
1,2,31290.620459010825,841.17679100018,True,1,car,carro,0.3,False,0.5,0.5,Audio,1,0.5,0.5,Audio,1,0,0,0,0
2,3,34087.693459005095,1292.2638750169426,True,2,visit,visita,0.3,True,0.5,0.5,Audio,2,0.5,0.5,Audio,2,0,0,0,0
3,4,37488.75845898874,784.2816660413519,True,2,visit,visita,0.3,False,0.5,0.5,Audio,2,0.5,0.5,Audio,2,0,0,0,0
4,5,40268.35229201242,1481.9177919998765,True,3,bread,pao,0.3,True,0.5,0.5,Audio,3,0.5,0.5,Audio,3,0,0,0,0
5,6,44185.126167023554,1679.8049999633804,False,4,blood,sangue,0.3,True,0.5,0.5,Visual,4,0.5,0.5,Visual,4,0,0,0,0
6,7,49174.84970903024,3908.571124949958,True,3,bread,pao,0.3,False,0.5,0.5,Audio,3,0.5,0.5,Audio,3,0,0,0,0
7,8,56265.625083993655,1591.170666040853,True,4,blood,sangue,0.3,False,0.5,0.5,Visual,4,0.5,0.5,Visual,4,0,0,0,0
8,9,62179.75175002357,1979.5346249593424,True,5,insect,inseto,0.3,True,0.5,0.5,Visual,5,0.5,0.5,Visual,5,0,0,0,0
9,10,67491.99287500232,1189.5388340344653,True,6,exam,exame,0.3,True,0.5,0.5,Visual,6,0.5,0.5,Visual,6,0,0,0,0
10,11,70848.26045902446,1154.5615830109457,True,5,insect,inseto,0.3,False,0.5,0.5,Visual,5,0.5,0.5,Visual,5,0,0,0,0
11,12,76066.58699997934,878.2332090195268,True,6,exam,exame,0.3,False,0.5,0.5,Visual,6,0.5,0.5,Visual,6,0,0,0,0
12,13,79536.18870902574,2246.7340829898603,True,1,car,carro,0.274609375,False,0.5,0.5,Audio,1,0.5,0.5,Audio,1,0,0,0,0
13,14,84157.85700001288,1385.7601669733413,False,2,visit,visita,0.349609375,False,0.5,0.5,Audio,2,0.5,0.5,Audio,2,0,1,0,0
14,15,89749.64187497972,1115.5403750017283,False,7,elevator,elevador,0.3,True,0.5,0.5,Visual,7,0.5,0.5,Visual,7,0,1,0,0
15,16,93792.60658402929,1591.0319579998031,True,8,industry,industria,0.3,True,0.5,0.5,Visual,8,0.5,0.5,Visual,8,0,1,0,0
16,17,98392.38554198528,929.0275420062244,True,7,elevator,elevador,0.3,False,0.5,0.5,Visual,7,0.5,0.5,Visual,7,0,1,0,0
17,18,102746.34200002764,1374.368124990724,True,8,industry,industria,0.3,False,0.5,0.5,Visual,8,0.5,0.5,Visual,8,0,1,0,0
18,19,107210.3481250233,1027.282208960969,True,3,bread,pao,0.250390625,False,0.5,0.5,Audio,3,0.5,0.5,Audio,3,0,1,0,0
19,20,113157.3024590034,1665.4365829890594,False,4,blood,sangue,0.349609375,False,0.5,0.5,Visual,4,0.5,0.5,Visual,4,0,1,0,1
20,21,115884.7672920092,1075.0521669979207,True,9,employee,empregado,0.3,True,0.5,0.5,Visual,9,0.5,0.5,Visual,9,0,1,0,1
21,22,120198.41187499696,1682.290084019769,True,5,insect,inseto,0.250390625,False,0.5,0.5,Visual,5,0.5,0.5,Visual,5,0,1,0,1
22,23,124330.01287502702,1426.255083992146,True,9,employee,empregado,0.3,False,0.5,0.5,Visual,9,0.5,0.5,Visual,9,0,1,0,1
23,24,132162.85570902983,928.1286249752156,True,2,visit,visita,0.3,False,0.5,0.5,Audio,2,0.5,0.5,Audio,2,0,1,0,1
24,25,135146.72662498197,784.9491250235587,True,6,exam,exame,0.250390625,False,0.5,0.5,Visual,6,0.5,0.5,Visual,6,0,1,0,1
25,26,137936.30441703135,1162.4747919850051,True,10,virus,virus,0.3,True,0.5,0.5,Audio,10,0.5,0.5,Audio,10,0,1,0,1
26,27,140914.3098340137,2684.996374999173,True,11,dinner,jantar,0.3,True,0.5,0.5,Audio,11,0.5,0.5,Audio,11,0,1,0,1
27,28,145627.68766703084,853.6017499864101,True,10,virus,virus,0.3,False,0.5,0.5,Audio,10,0.5,0.5,Audio,10,0,1,0,1
28,29,148298.03116701078,957.510958018247,True,11,dinner,jantar,0.3,False,0.5,0.5,Audio,11,0.5,0.5,Audio,11,0,1,0,1
29,30,152003.4419170115,1057.7910830033943,True,7,elevator,elevador,0.250390625,False,0.5,0.5,Visual,7,0.5,0.5,Visual,7,0,1,0,1
30,31,156023.50191702135,875.4108750144951,True,8,industry,industria,0.250390625,False,0.5,0.5,Visual,8,0.5,0.5,Visual,8,0,1,0,1
31,32,159975.2371670329,1293.1622079922818,True,4,blood,sangue,0.3,False,0.5,0.5,Visual,4,0.5,0.5,Visual,4,0,1,0,1
32,33,168693.402667006,inf,True,12,investment,investimento,0.3,True,0.5,0.5,Visual,12,0.5,0.5,Visual,12,0,1,0,1
33,34,173912.416459003,2088.531707995571,False,9,employee,empregado,0.349609375,False,0.5,0.5,Visual,9,0.5,0.5,Visual,9,0,1,0,2
34,35,177065.13229198754,1550.3624580451287,True,12,investment,investimento,0.3,False,0.5,0.5,Visual,12,0.5,0.5,Visual,12,0,1,0,2
35,36,181359.0732919984,1591.3750419858843,True,13,yes,sim,0.3,True,0.5,0.5,Audio,13,0.5,0.5,Audio,13,0,1,0,2
36,37,184429.18091698084,1862.1291250456125,True,14,thank you,obrigado,0.3,True,0.5,0.5,Audio,14,0.5,0.5,Audio,14,0,1,0,2
37,38,189091.0803750157,1723.1073749717325,True,13,yes,sim,0.3,False,0.5,0.5,Audio,13,0.5,0.5,Audio,13,0,1,0,2
38,39,192692.5129169831,4871.263167005964,False,14,thank you,obrigado,0.3,False,0.5,0.5,Audio,14,0.5,0.5,Audio,14,0,2,0,2
39,40,198630.16583397985,998.4082910232246,True,10,virus,virus,0.250390625,False,0.5,0.5,Audio,10,0.5,0.5,Audio,10,0,2,0,2
40,41,201327.8931250097,2225.5320419790223,False,11,dinner,jantar,0.349609375,False,0.5,0.5,Audio,11,0.5,0.5,Audio,11,0,3,0,2
