,trial,start_time,rt,correct,fact_id,question,answer,alpha,new,audio_visual_chance,visual_chance,audio_or_visual_fact,fact_id,audio_visual_chance,visual_chance,audio_or_visual_fact,fact_id,correct_audio_visual,wrong_audio_visual,correct_visual,wrong_visual
0,1,30895.53352500002,1407.6461170000111,True,1,car,carro,0.3,True,0.5,0.5,Visual,1,0.5,0.5,Visual,1,0,0,0,0
1,2,34336.951239999966,787.7104700000928,True,1,car,carro,0.3,False,0.5,0.5,Visual,1,0.5,0.5,Visual,1,0,0,0,0
2,3,37557.49186100002,1388.7600210000528,True,2,visit,visita,0.3,True,0.5,0.5,Visual,2,0.5,0.5,Visual,2,0,0,0,0
3,4,40709.78224400005,782.536059999984,True,2,visit,visita,0.3,False,0.5,0.5,Visual,2,0.5,0.5,Visual,2,0,0,0,0
4,5,43459.51118199992,1229.3715750001866,True,3,bread,pao,0.3,True,0.5,0.5,Visual,3,0.5,0.5,Visual,3,0,0,0,0
5,6,46543.74428000006,inf,True,4,blood,sangue,0.3,True,0.5,0.5,Visual,4,0.5,0.5,Visual,4,0,0,0,0
6,7,53966.930691000016,2206.271539000001,True,3,bread,pao,0.3,False,0.5,0.5,Visual,3,0.5,0.5,Visual,3,0,0,0,0
7,8,58795.11584300008,1099.0252779999937,True,4,blood,sangue,0.3,False,0.5,0.5,Visual,4,0.5,0.5,Visual,4,0,0,0,0
8,9,61753.03291599994,1052.913591000106,True,5,insect,inseto,0.3,True,0.5,0.5,Visual,5,0.5,0.5,Visual,5,0,0,0,0
9,10,64808.41230300007,912.170285999986,True,6,exam,exame,0.3,True,0.5,0.5,Visual,6,0.5,0.5,Visual,6,0,0,0,0
10,11,67474.558871,987.34618399998,True,5,insect,inseto,0.3,False,0.5,0.5,Visual,5,0.5,0.5,Visual,5,0,0,0,0
11,12,70438.18336899995,744.6119180001406,True,6,exam,exame,0.3,False,0.5,0.5,Visual,6,0.5,0.5,Visual,6,0,0,0,0
12,13,72909.26437799999,3266.7256639999687,True,7,elevator,elevador,0.3,True,0.5,0.5,Audio,7,0.5,0.5,Audio,7,0,0,0,0
13,14,79867.47897800001,991.6927839999408,True,1,car,carro,0.250390625,False,0.5,0.5,Visual,1,0.5,0.5,Visual,1,0,0,0,0
14,15,82385.76925200004,914.564104999954,True,7,elevator,elevador,0.3,False,0.5,0.5,Audio,7,0.5,0.5,Audio,7,0,0,0,0
15,16,85706.37593200013,1100.0656279998077,False,2,visit,visita,0.349609375,False,0.5,0.5,Visual,2,0.5,0.5,Visual,2,0,0,0,1
16,17,88757.92331799994,972.2557170000508,False,8,industry,industria,0.3,True,0.5,0.5,Visual,8,0.5,0.5,Visual,8,0,0,0,1
17,18,92812.30090200006,975.3843319999723,True,9,employee,empregado,0.3,True,0.5,0.5,Audio,9,0.5,0.5,Audio,9,0,0,0,1
18,19,96249.95599699992,880.0185570000904,True,8,industry,industria,0.3,False,0.5,0.5,Visual,8,0.5,0.5,Visual,8,0,0,0,1
19,20,99579.73487899994,4886.448421000066,False,9,employee,empregado,0.3,False,0.5,0.5,Audio,9,0.5,0.5,Audio,9,0,1,0,1
20,21,105554.825961,985.727382000041,True,3,bread,pao,0.250390625,False,0.5,0.5,Visual,3,0.5,0.5,Visual,3,0,1,0,1
21,22,108328.38437800002,845.1111619999574,True,4,blood,sangue,0.250390625,False,0.5,0.5,Visual,4,0.5,0.5,Visual,4,0,1,0,1
22,23,111241.46157700013,853.4683269999659,True,5,insect,inseto,0.250390625,False,0.5,0.5,Visual,5,0.5,0.5,Visual,5,0,1,0,1
23,24,114000.41441500002,648.8879329999763,True,6,exam,exame,0.250390625,False,0.5,0.5,Visual,6,0.5,0.5,Visual,6,0,1,0,1
24,25,116342.72230800004,775.2033829999564,True,10,virus,virus,0.3,True,0.5,0.5,Visual,10,0.5,0.5,Visual,10,0,1,0,1
25,26,119001.97979700012,1003.54173300002,True,11,dinner,jantar,0.3,True,0.5,0.5,Audio,11,0.5,0.5,Audio,11,0,1,0,1
26,27,121847.71310099996,812.9043799999636,True,10,virus,virus,0.3,False,0.5,0.5,Visual,10,0.5,0.5,Visual,10,0,1,0,1
27,28,124341.03397600006,1106.0980759998492,True,11,dinner,jantar,0.3,False,0.5,0.5,Audio,11,0.5,0.5,Audio,11,0,1,0,1
28,29,127205.87228399995,708.7035100000794,False,2,visit,visita,0.3992187499999999,False,0.5,0.5,Visual,2,0.5,0.5,Visual,2,0,1,0,2
29,30,130729.99796900012,1085.017279999869,True,7,elevator,elevador,0.250390625,False,0.5,0.5,Audio,7,0.5,0.5,Audio,7,0,1,0,2
30,31,134966.55051700008,959.373302999884,True,12,investment,investimento,0.3,True,0.5,0.5,Audio,12,0.5,0.5,Audio,12,0,1,0,2
31,32,138480.01666999995,1245.476850000152,True,13,yes,sim,0.3,True,0.5,0.5,Audio,13,0.5,0.5,Audio,13,0,1,0,2
32,33,141110.10126099997,918.1006380001782,True,12,investment,investimento,0.3,False,0.5,0.5,Audio,12,0.5,0.5,Audio,12,0,1,0,2
33,34,144812.2498780001,1411.407532999874,True,13,yes,sim,0.3,False,0.5,0.5,Audio,13,0.5,0.5,Audio,13,0,1,0,2
34,35,147623.31476600002,808.2441550000221,True,8,industry,industria,0.250390625,False,0.5,0.5,Visual,8,0.5,0.5,Visual,8,0,1,0,2
35,36,150797.07774100007,2052.153675999987,True,9,employee,empregado,0.253515625,False,0.5,0.5,Audio,9,0.5,0.5,Audio,9,0,1,0,2
36,37,155020.81110500012,863.6866429999354,True,2,visit,visita,0.398828125,False,0.5,0.5,Visual,2,0.5,0.5,Visual,2,0,1,0,2
37,38,157777.79830300005,1264.62297700005,True,14,thank you,obrigado,0.3,True,0.5,0.5,Visual,14,0.5,0.5,Visual,14,0,1,0,2
