,trial,start_time,rt,correct,fact_id,question,answer,alpha,new,audio_visual_chance,visual_chance,audio_or_visual_fact,fact_id,audio_visual_chance,visual_chance,audio_or_visual_fact,fact_id,correct_audio_visual,wrong_audio_visual,correct_visual,wrong_visual
0,1,18675.474573999963,2812.862472000008,True,1,car,carro,0.3,True,0.5,0.5,Visual,1,0.5,0.5,Visual,1,0,0,0,0
1,2,23921.14687100002,1037.6793460000044,True,1,car,carro,0.3,False,0.5,0.5,Visual,1,0.5,0.5,Visual,1,0,0,0,0
2,3,26788.695620999988,1413.6771610001233,True,2,visit,visita,0.3,True,0.5,0.5,Visual,2,0.5,0.5,Visual,2,0,0,0,0
3,4,30361.65307600004,886.1209730000628,True,2,visit,visita,0.3,False,0.5,0.5,Visual,2,0.5,0.5,Visual,2,0,0,0,0
4,5,33076.24217400007,1130.4624259998964,True,3,bread,pao,0.3,True,0.5,0.5,Visual,3,0.5,0.5,Visual,3,0,0,0,0
5,6,36224.19231799995,3037.359429000164,True,4,blood,sangue,0.3,True,0.5,0.5,Audio,4,0.5,0.5,Audio,4,0,0,0,0
6,7,42747.59839600006,1347.936848000012,True,3,bread,pao,0.3,False,0.5,0.5,Visual,3,0.5,0.5,Visual,3,0,0,0,0
7,8,46772.1651920001,1322.834200999976,True,4,blood,sangue,0.3,False,0.5,0.5,Audio,4,0.5,0.5,Audio,4,0,0,0,0
8,9,53944.55051399996,1651.607086999997,True,5,insect,inseto,0.3,True,0.5,0.5,Visual,5,0.5,0.5,Visual,5,0,0,0,0
9,10,58434.68609800016,1122.4086449999522,True,6,exam,exame,0.3,True,0.5,0.5,Visual,6,0.5,0.5,Visual,6,0,0,0,0
10,11,61503.45676100005,1035.625564999922,True,5,insect,inseto,0.3,False,0.5,0.5,Visual,5,0.5,0.5,Visual,5,0,0,0,0
11,12,64795.92489000016,1018.3435499998304,True,6,exam,exame,0.3,False,0.5,0.5,Visual,6,0.5,0.5,Visual,6,0,0,0,0
12,13,67654.39929700005,753.6471309999761,True,1,car,carro,0.250390625,False,0.5,0.5,Visual,1,0.5,0.5,Visual,1,0,0,0,0
13,14,70092.23325100016,1031.5138169998972,True,2,visit,visita,0.250390625,False,0.5,0.5,Visual,2,0.5,0.5,Visual,2,0,0,0,0
14,15,72911.9078220001,1336.5292649998592,True,7,elevator,elevador,0.3,True,0.5,0.5,Visual,7,0.5,0.5,Visual,7,0,0,0,0
15,16,76598.3140830001,1311.7621769999823,True,8,industry,industria,0.3,True,0.5,0.5,Audio,8,0.5,0.5,Audio,8,0,0,0,0
16,17,80319.50445999997,893.429626000172,True,7,elevator,elevador,0.3,False,0.5,0.5,Visual,7,0.5,0.5,Visual,7,0,0,0,0
17,18,83783.19691800016,942.9146769998624,True,8,industry,industria,0.3,False,0.5,0.5,Audio,8,0.5,0.5,Audio,8,0,0,0,0
18,19,86933.39967300017,2277.0699669999885,True,9,employee,empregado,0.3,True,0.5,0.5,Visual,9,0.5,0.5,Visual,9,0,0,0,0
19,20,93009.63533200002,1149.0350750000216,True,3,bread,pao,0.250390625,False,0.5,0.5,Visual,3,0.5,0.5,Visual,3,0,0,0,0
20,21,96130.43138600004,2550.96314399998,True,9,employee,empregado,0.3,False,0.5,0.5,Visual,9,0.5,0.5,Visual,9,0,0,0,0
