,trial,start_time,rt,correct,fact_id,question,answer,alpha,new,audio_visual_chance,visual_chance,audio_or_visual_fact,fact_id,audio_visual_chance,visual_chance,audio_or_visual_fact,fact_id,correct_audio_visual,wrong_audio_visual,correct_visual,wrong_visual
0,1,28708.913746000235,1431.7782039997835,True,1,car,carro,0.3,True,0.5,0.5,Visual,1,0.5,0.5,Visual,1,0,0,0,0
1,2,33548.664418000044,1308.1578830001529,True,1,car,carro,0.3,False,0.5,0.5,Visual,1,0.5,0.5,Visual,1,0,0,0,0
2,3,36974.10625900011,1404.4211350001206,True,2,visit,visita,0.3,True,0.5,0.5,Visual,2,0.5,0.5,Visual,2,0,0,0,0
3,4,41933.66007199984,1202.801137000279,True,2,visit,visita,0.3,False,0.5,0.5,Visual,2,0.5,0.5,Visual,2,0,0,0,0
4,5,45980.221347000224,2694.234053999935,True,3,bread,pao,0.3,True,0.5,0.5,Audio,3,0.5,0.5,Audio,3,0,0,0,0
5,6,51956.727418999886,2054.753076000001,True,4,blood,sangue,0.3,True,0.5,0.5,Visual,4,0.5,0.5,Visual,4,0,0,0,0
6,7,56524.42730400026,1747.9687719996873,True,3,bread,pao,0.3,False,0.5,0.5,Audio,3,0.5,0.5,Audio,3,0,0,0,0
7,8,60863.31220000011,1425.075244999789,True,4,blood,sangue,0.3,False,0.5,0.5,Visual,4,0.5,0.5,Visual,4,0,0,0,0
8,9,65128.59028799994,1208.95904899999,True,5,insect,inseto,0.3,True,0.5,0.5,Visual,5,0.5,0.5,Visual,5,0,0,0,0
9,10,69631.87720899987,980.7155410003325,True,6,exam,exame,0.3,True,0.5,0.5,Visual,6,0.5,0.5,Visual,6,0,0,0,0
10,11,72821.17659799996,1500.680148999891,True,5,insect,inseto,0.3,False,0.5,0.5,Visual,5,0.5,0.5,Visual,5,0,0,0,0
11,12,76929.72307699983,3612.778939000244,True,6,exam,exame,0.3,False,0.5,0.5,Visual,6,0.5,0.5,Visual,6,0,0,0,0
12,13,82546.77524399995,947.8710329999594,True,1,car,carro,0.250390625,False,0.5,0.5,Visual,1,0.5,0.5,Visual,1,0,0,0,0
13,14,85383.13690799987,999.1309800002492,True,2,visit,visita,0.250390625,False,0.5,0.5,Visual,2,0.5,0.5,Visual,2,0,0,0,0
14,15,88750.54874599983,1912.0010480000929,True,7,elevator,elevador,0.3,True,0.5,0.5,Audio,7,0.5,0.5,Audio,7,0,0,0,0
15,16,93363.20756099986,833.9388790000085,True,8,industry,industria,0.3,True,0.5,0.5,Visual,8,0.5,0.5,Visual,8,0,0,0,0
16,17,97091.68743200006,1640.3663390001457,True,7,elevator,elevador,0.3,False,0.5,0.5,Audio,7,0.5,0.5,Audio,7,0,0,0,0
17,18,101325.59118200016,1662.3885670001036,True,8,industry,industria,0.3,False,0.5,0.5,Visual,8,0.5,0.5,Visual,8,0,0,0,0
18,19,106140.7134850001,1158.2512720001396,True,3,bread,pao,0.250390625,False,0.5,0.5,Audio,3,0.5,0.5,Audio,3,0,0,0,0
19,20,109582.63713399992,1180.7206530002004,True,4,blood,sangue,0.250390625,False,0.5,0.5,Visual,4,0.5,0.5,Visual,4,0,0,0,0
20,21,112618.8442130001,1270.482496000113,True,9,employee,empregado,0.3,True,0.5,0.5,Visual,9,0.5,0.5,Visual,9,0,0,0,0
