,trial,start_time,rt,correct,fact_id,question,answer,alpha,new,audio_visual_chance,visual_chance,audio_or_visual_fact,fact_id,audio_visual_chance,visual_chance,audio_or_visual_fact,fact_id,correct_audio_visual,wrong_audio_visual,correct_visual,wrong_visual
0,1,26670.394088000197,4692.046695000045,True,1,car,carro,0.3,True,0.5,0.5,Audio,1,0.5,0.5,Audio,1,0,0,0,0
1,2,34339.81182200023,1163.922538999941,True,1,car,carro,0.3,False,0.5,0.5,Audio,1,0.5,0.5,Audio,1,0,0,0,0
2,3,37280.39828400005,1503.2266749999544,True,2,visit,visita,0.3,True,0.5,0.5,Audio,2,0.5,0.5,Audio,2,0,0,0,0
3,4,41002.2489500002,1113.0824449996871,True,2,visit,visita,0.3,False,0.5,0.5,Audio,2,0.5,0.5,Audio,2,0,0,0,0
4,5,44826.83839299989,1680.3555320002488,True,3,bread,pao,0.3,True,0.5,0.5,Audio,3,0.5,0.5,Audio,3,0,0,0,0
5,6,48750.28213399992,1853.1905130003,True,4,blood,sangue,0.3,True,0.5,0.5,Audio,4,0.5,0.5,Audio,4,0,0,0,0
6,7,52903.56339900018,1831.6792450000285,True,3,bread,pao,0.3,False,0.5,0.5,Audio,3,0.5,0.5,Audio,3,0,0,0,0
7,8,56813.37613599999,1198.8216529998608,True,4,blood,sangue,0.3,False,0.5,0.5,Audio,4,0.5,0.5,Audio,4,0,0,0,0
8,9,60034.77439800008,1140.1182310000877,True,5,insect,inseto,0.3,True,0.5,0.5,Visual,5,0.5,0.5,Visual,5,0,0,0,0
9,10,63618.37775499998,1356.294399000035,False,6,exam,exame,0.3,True,0.5,0.5,Audio,6,0.5,0.5,Audio,6,0,0,0,0
10,11,67833.28754000014,2762.308025000035,True,5,insect,inseto,0.3,False,0.5,0.5,Visual,5,0.5,0.5,Visual,5,0,0,0,0
11,12,73922.65999700021,1376.230227999709,True,6,exam,exame,0.3,False,0.5,0.5,Audio,6,0.5,0.5,Audio,6,0,0,0,0
12,13,77472.35312200019,2589.32611799991,False,7,elevator,elevador,0.3,True,0.5,0.5,Audio,7,0.5,0.5,Audio,7,0,0,0,0
13,14,83006.60029900019,1748.2350609998248,True,1,car,carro,0.250390625,False,0.5,0.5,Audio,1,0.5,0.5,Audio,1,0,0,0,0
14,15,86697.9298440001,1632.937568999754,True,7,elevator,elevador,0.3,False,0.5,0.5,Audio,7,0.5,0.5,Audio,7,0,0,0,0
15,16,91586.29513899997,1131.4327310001245,True,2,visit,visita,0.250390625,False,0.5,0.5,Audio,2,0.5,0.5,Audio,2,0,0,0,0
16,17,94775.05324799995,1721.9625319999031,True,8,industry,industria,0.3,True,0.5,0.5,Audio,8,0.5,0.5,Audio,8,0,0,0,0
17,18,99156.26756600024,2012.6919740000596,True,3,bread,pao,0.255859375,False,0.5,0.5,Audio,3,0.5,0.5,Audio,3,0,0,0,0
18,19,103949.89846499992,1302.7631790000742,True,8,industry,industria,0.3,False,0.5,0.5,Audio,8,0.5,0.5,Audio,8,0,0,0,0
19,20,108016.24898299995,1496.3356700000004,True,4,blood,sangue,0.250390625,False,0.5,0.5,Audio,4,0.5,0.5,Audio,4,0,0,0,0
20,21,111417.97557200016,1740.301016000114,True,9,employee,empregado,0.3,True,0.5,0.5,Audio,9,0.5,0.5,Audio,9,0,0,0,0
21,22,116061.63704000028,1038.8626609997154,True,5,insect,inseto,0.250390625,False,0.5,0.5,Visual,5,0.5,0.5,Visual,5,0,0,0,0
22,23,119451.74344099996,1751.0009460001893,True,9,employee,empregado,0.3,False,0.5,0.5,Audio,9,0.5,0.5,Audio,9,0,0,0,0
23,24,123992.66938500022,1062.247774999836,True,6,exam,exame,0.250390625,False,0.5,0.5,Audio,6,0.5,0.5,Audio,6,0,0,0,0
24,25,127103.43658800004,1204.1279859999922,True,10,virus,virus,0.3,True,0.5,0.5,Visual,10,0.5,0.5,Visual,10,0,0,0,0
25,26,131156.5912609999,1383.590956000262,True,11,dinner,jantar,0.3,True,0.5,0.5,Audio,11,0.5,0.5,Audio,11,0,0,0,0
26,27,134593.43999300018,1386.9313439999823,True,10,virus,virus,0.3,False,0.5,0.5,Visual,10,0.5,0.5,Visual,10,0,0,0,0
27,28,138178.25084700008,8095.365273999952,False,11,dinner,jantar,0.3,False,0.5,0.5,Audio,11,0.5,0.5,Audio,11,0,1,0,0
28,29,148812.90712600003,1328.3929099998204,True,7,elevator,elevador,0.250390625,False,0.5,0.5,Audio,7,0.5,0.5,Audio,7,0,1,0,0
29,30,152636.6660829999,1149.0892800002475,True,8,industry,industria,0.250390625,False,0.5,0.5,Audio,8,0.5,0.5,Audio,8,0,1,0,0
30,31,157659.2632070001,1547.963944999996,True,12,investment,investimento,0.3,True,0.5,0.5,Audio,12,0.5,0.5,Audio,12,0,1,0,0
31,32,162440.55984299985,1476.7709310003556,True,13,yes,sim,0.3,True,0.5,0.5,Audio,13,0.5,0.5,Audio,13,0,1,0,0
32,33,165502.07802600018,1090.4370739999576,True,12,investment,investimento,0.3,False,0.5,0.5,Audio,12,0.5,0.5,Audio,12,0,1,0,0
33,34,169643.40544100013,1529.7684500001487,True,13,yes,sim,0.3,False,0.5,0.5,Audio,13,0.5,0.5,Audio,13,0,1,0,0
34,35,172712.02954399996,3301.6448860003147,True,9,employee,empregado,0.349609375,False,0.5,0.5,Audio,9,0.5,0.5,Audio,9,0,1,0,0
35,36,178942.81997500002,1689.4636820002345,True,14,thank you,obrigado,0.3,True,0.5,0.5,Visual,14,0.5,0.5,Visual,14,0,1,0,0
36,37,183473.63216300023,1019.807179999596,True,10,virus,virus,0.250390625,False,0.5,0.5,Visual,10,0.5,0.5,Visual,10,0,1,0,0
37,38,186363.59760999997,1772.106337999954,True,14,thank you,obrigado,0.3,False,0.5,0.5,Visual,14,0.5,0.5,Visual,14,0,1,0,0
38,39,190860.01898299996,2363.796465000167,False,11,dinner,jantar,0.349609375,False,0.5,0.5,Audio,11,0.5,0.5,Audio,11,0,2,0,0
39,40,195267.51702699997,1439.239652000193,True,15,goodbye,adeus,0.3,True,0.5,0.5,Visual,15,0.5,0.5,Visual,15,0,2,0,0
40,41,199376.72758400004,1439.448115000239,True,16,smile,sorrir,0.3,True,0.5,0.5,Visual,16,0.5,0.5,Visual,16,0,2,0,0
41,42,202811.89630100012,inf,False,15,goodbye,adeus,0.3,False,0.5,0.5,Visual,15,0.5,0.5,Visual,15,0,2,0,1
42,43,211260.78962100015,1589.7676159997936,False,16,smile,sorrir,0.3,False,0.5,0.5,Visual,16,0.5,0.5,Visual,16,0,2,0,2
43,44,214953.59364100025,1305.704436999804,True,12,investment,investimento,0.250390625,False,0.5,0.5,Audio,12,0.5,0.5,Audio,12,0,2,0,2
44,45,219537.50371500017,1619.791062999866,True,9,employee,empregado,0.3,False,0.5,0.5,Audio,9,0.5,0.5,Audio,9,1,2,0,2
45,46,223711.08853099987,1204.3939990003128,True,13,yes,sim,0.250390625,False,0.5,0.5,Audio,13,0.5,0.5,Audio,13,1,2,0,2
46,47,226606.68167299996,1282.0459560002491,True,17,today,hoje,0.3,True,0.5,0.5,Audio,17,0.5,0.5,Audio,17,1,2,0,2
47,48,230115.89470299985,inf,True,11,dinner,jantar,0.3992187499999999,False,0.5,0.5,Audio,11,0.5,0.5,Audio,11,1,2,0,2
48,49,235555.6173949999,1578.2625150000094,False,17,today,hoje,0.3,False,0.5,0.5,Audio,17,0.5,0.5,Audio,17,1,3,0,2
49,50,239154.204894,1933.8485889998265,True,14,thank you,obrigado,0.250390625,False,0.5,0.5,Visual,14,0.5,0.5,Visual,14,1,3,0,2
50,51,244097.2899610001,1906.2140239998407,True,18,airport,aeroporto,0.3,True,0.5,0.5,Audio,18,0.5,0.5,Audio,18,1,3,0,2
51,52,248446.126203,2031.944921000104,True,15,goodbye,adeus,0.262890625,False,0.5,0.5,Visual,15,0.5,0.5,Visual,15,1,3,0,2
52,53,253334.810977,1278.1378029999323,True,18,airport,aeroporto,0.3,False,0.5,0.5,Audio,18,0.5,0.5,Audio,18,1,3,0,2
53,54,256941.61171699988,1349.8992930003733,True,19,hi,oi,0.3,True,0.5,0.5,Audio,19,0.5,0.5,Audio,19,1,3,0,2
54,55,259932.32419300007,1567.8015240000386,True,11,dinner,jantar,0.398828125,False,0.5,0.5,Audio,11,0.5,0.5,Audio,11,1,3,0,2
55,56,263580.0176050002,2885.0098749999306,True,19,hi,oi,0.3,False,0.5,0.5,Audio,19,0.5,0.5,Audio,19,1,3,0,2
56,57,268040.964241,3928.362124000152,False,16,smile,sorrir,0.349609375,False,0.5,0.5,Visual,16,0.5,0.5,Visual,16,1,3,0,3
57,58,273984.384076,2112.2701140002464,True,20,nice to meet you,prazer,0.3,True,0.5,0.5,Audio,20,0.5,0.5,Audio,20,1,3,0,3
58,59,279960.82644099987,1498.5326480000513,True,22,how are you,tudo bem,0.3,True,0.5,0.5,Audio,22,0.5,0.5,Audio,22,1,3,0,3
59,60,284714.2291770001,931.1838029998472,True,20,nice to meet you,prazer,0.3,False,0.5,0.5,Audio,20,0.5,0.5,Audio,20,1,3,0,3
60,61,289524.8008580002,inf,False,22,how are you,tudo bem,0.3,False,0.5,0.5,Audio,22,0.5,0.5,Audio,22,1,4,0,3
61,62,299273.9503610001,5256.931946999859,False,17,today,hoje,0.349609375,False,0.5,0.5,Audio,17,0.5,0.5,Audio,17,1,5,0,3
62,63,307503.098229,1440.682984999963,True,18,airport,aeroporto,0.250390625,False,0.5,0.5,Audio,18,0.5,0.5,Audio,18,1,5,0,3
63,64,311265.6400740002,1303.0881169997738,True,19,hi,oi,0.250390625,False,0.5,0.5,Audio,19,0.5,0.5,Audio,19,1,5,0,3
64,65,314113.94150000025,1182.9368979997234,True,16,smile,sorrir,0.34921875,False,0.5,0.5,Visual,16,0.5,0.5,Visual,16,1,5,0,3
65,66,318698.13090300024,1346.0876979997847,True,23,week,semana,0.3,True,0.5,0.5,Visual,23,0.5,0.5,Visual,23,1,5,0,3
66,67,322143.36999399983,2426.5778930002707,True,11,dinner,jantar,0.42109375,False,0.5,0.5,Audio,11,0.5,0.5,Audio,11,2,5,0,3
67,68,326695.271006,inf,True,23,week,semana,0.3,False,0.5,0.5,Visual,23,0.5,0.5,Visual,23,2,5,0,3
68,69,336911.266867,1544.1913879999777,False,20,nice to meet you,prazer,0.349609375,False,0.5,0.5,Audio,20,0.5,0.5,Audio,20,2,6,0,3
69,70,341996.51445100014,1484.3440849999895,True,17,today,hoje,0.34921875,False,0.5,0.5,Audio,17,0.5,0.5,Audio,17,2,6,0,3
70,71,345557.64276800025,2874.3517619996564,False,22,how are you,tudo bem,0.349609375,False,0.5,0.5,Audio,22,0.5,0.5,Audio,22,2,7,0,3
71,72,352419.503352,1580.5391680001048,True,24,year,ano,0.3,True,0.5,0.5,Audio,24,0.5,0.5,Audio,24,2,7,0,3
72,73,355729.2572800002,1156.607069000078,True,2,visit,visita,0.20078125,False,0.55,0.44999999999999996,Audio,2,0.55,0.44999999999999996,Audio,2,3,7,0,3
73,74,358923.558382,1506.0782340001315,True,24,year,ano,0.3,False,0.55,0.44999999999999996,Audio,24,0.55,0.44999999999999996,Audio,24,3,7,0,3
74,75,362455.52189,1796.5277020002832,True,25,yesterday,ontem,0.3,True,0.55,0.44999999999999996,Visual,25,0.55,0.44999999999999996,Visual,25,3,7,0,3
75,76,367159.0577820002,1841.0449089996985,True,3,bread,pao,0.20625,False,0.6050000000000001,0.3949999999999999,Audio,3,0.6050000000000001,0.3949999999999999,Audio,3,4,7,0,3
76,77,371072.7530899999,2258.5263050000067,False,25,yesterday,ontem,0.3,False,0.6050000000000001,0.3949999999999999,Visual,25,0.6050000000000001,0.3949999999999999,Visual,25,4,7,0,4
77,78,375875.1969919999,1196.97876300005,True,11,dinner,jantar,0.402734375,False,0.6655000000000001,0.3344999999999999,Audio,11,0.6655000000000001,0.3344999999999999,Audio,11,5,7,0,4
78,79,379172.5919680002,1231.2970200000564,True,23,week,semana,0.250390625,False,0.6655000000000001,0.3344999999999999,Visual,23,0.6655000000000001,0.3344999999999999,Visual,23,5,7,0,4
79,80,382361.9669519999,2460.2753250001115,False,20,nice to meet you,prazer,0.3992187499999999,False,0.6655000000000001,0.3344999999999999,Audio,20,0.6655000000000001,0.3344999999999999,Audio,20,5,8,0,4
80,81,387589.5028969999,3371.794861000089,False,22,how are you,tudo bem,0.3992187499999999,False,0.6655000000000001,0.3344999999999999,Audio,22,0.6655000000000001,0.3344999999999999,Audio,22,5,9,0,4
81,82,394523.226798,1604.722352999961,True,1,car,carro,0.20078125,False,0.7320500000000001,0.2679499999999999,Audio,1,0.7320500000000001,0.2679499999999999,Audio,1,6,9,0,4
82,83,397749.3590540002,1409.5195089998888,True,26,tomorrow,amanha,0.3,True,0.7320500000000001,0.2679499999999999,Audio,26,0.7320500000000001,0.2679499999999999,Audio,26,6,9,0,4
83,84,401675.65488399984,3153.1162050000858,True,16,smile,sorrir,0.398828125,False,0.7320500000000001,0.2679499999999999,Visual,16,0.7320500000000001,0.2679499999999999,Visual,16,6,9,0,4
