,trial,start_time,rt,correct,fact_id,question,answer,alpha,new,audio_visual_chance,visual_chance,audio_or_visual_fact,fact_id,audio_visual_chance,visual_chance,audio_or_visual_fact,fact_id,correct_audio_visual,wrong_audio_visual,correct_visual,wrong_visual
0,1,16039.857054000096,1531.6689819992462,False,1,car,carro,0.3,True,0.5,0.5,Audio,1,0.5,0.5,Audio,1,0,0,0,0
1,2,25086.797287998703,1090.2056330014602,True,1,car,carro,0.3,False,0.5,0.5,Audio,1,0.5,0.5,Audio,1,0,0,0,0
2,3,27924.474767998618,1295.8449280013156,True,2,visit,visita,0.3,True,0.5,0.5,Audio,2,0.5,0.5,Audio,2,0,0,0,0
3,4,31889.13848799893,1504.7683320008218,True,2,visit,visita,0.3,False,0.5,0.5,Audio,2,0.5,0.5,Audio,2,0,0,0,0
4,5,35570.72727400009,1766.2325789988245,True,3,bread,pao,0.3,True,0.5,0.5,Visual,3,0.5,0.5,Visual,3,0,0,0,0
5,6,39737.34770899864,2419.6393670008547,True,4,blood,sangue,0.3,True,0.5,0.5,Visual,4,0.5,0.5,Visual,4,0,0,0,0
6,7,44434.48180999985,941.6784450004344,True,3,bread,pao,0.3,False,0.5,0.5,Visual,3,0.5,0.5,Visual,3,0,0,0,0
7,8,47407.55923799952,733.870707999813,True,4,blood,sangue,0.3,False,0.5,0.5,Visual,4,0.5,0.5,Visual,4,0,0,0,0
8,9,50021.88162499988,1422.2493479992409,True,5,insect,inseto,0.3,True,0.5,0.5,Visual,5,0.5,0.5,Visual,5,0,0,0,0
9,10,53596.45741500026,1527.3347449983703,True,6,exam,exame,0.3,True,0.5,0.5,Audio,6,0.5,0.5,Audio,6,0,0,0,0
10,11,57039.455438000005,863.1713180002407,True,5,insect,inseto,0.3,False,0.5,0.5,Visual,5,0.5,0.5,Visual,5,0,0,0,0
11,12,60033.54963399943,922.6197829993908,True,6,exam,exame,0.3,False,0.5,0.5,Audio,6,0.5,0.5,Audio,6,0,0,0,0
12,13,63006.015832999765,2227.4096479995933,True,7,elevator,elevador,0.3,True,0.5,0.5,Visual,7,0.5,0.5,Visual,7,0,0,0,0
13,14,67696.66799799961,1200.429754999277,True,8,industry,industria,0.3,True,0.5,0.5,Visual,8,0.5,0.5,Visual,8,0,0,0,0
14,15,71606.07838800024,1121.6896299993095,True,7,elevator,elevador,0.3,False,0.5,0.5,Visual,7,0.5,0.5,Visual,7,0,0,0,0
15,16,75247.7701939988,997.6499770000372,True,8,industry,industria,0.3,False,0.5,0.5,Visual,8,0.5,0.5,Visual,8,0,0,0,0
16,17,80205.72662999984,1143.472642999768,True,2,visit,visita,0.250390625,False,0.5,0.5,Audio,2,0.5,0.5,Audio,2,0,0,0,0
17,18,83188.35239799955,935.8931459992164,True,1,car,carro,0.250390625,False,0.5,0.5,Audio,1,0.5,0.5,Audio,1,0,0,0,0
18,19,85643.99644999867,1388.1317440009298,True,9,employee,empregado,0.3,True,0.5,0.5,Audio,9,0.5,0.5,Audio,9,0,0,0,0
19,20,90655.06871899925,1146.9165960006649,True,10,virus,virus,0.3,True,0.5,0.5,Audio,10,0.5,0.5,Audio,10,0,0,0,0
20,21,93641.34301999913,3182.513326999469,True,9,employee,empregado,0.3,False,0.5,0.5,Audio,9,0.5,0.5,Audio,9,0,0,0,0
21,22,99493.5703079991,862.3453640011576,True,10,virus,virus,0.3,False,0.5,0.5,Audio,10,0.5,0.5,Audio,10,0,0,0,0
22,23,102252.85869799882,1327.7490279997437,True,3,bread,pao,0.250390625,False,0.5,0.5,Visual,3,0.5,0.5,Visual,3,0,0,0,0
23,24,105524.80595599992,1488.3665799989103,True,4,blood,sangue,0.250390625,False,0.5,0.5,Visual,4,0.5,0.5,Visual,4,0,0,0,0
24,25,109319.30441499937,1236.432634999801,True,5,insect,inseto,0.250390625,False,0.5,0.5,Visual,5,0.5,0.5,Visual,5,0,0,0,0
25,26,112768.26974799953,864.7758690003684,True,6,exam,exame,0.250390625,False,0.5,0.5,Audio,6,0.5,0.5,Audio,6,0,0,0,0
26,27,115634.51553999948,1323.4737120001228,True,11,dinner,jantar,0.3,True,0.5,0.5,Audio,11,0.5,0.5,Audio,11,0,0,0,0
27,28,118988.15030399965,2247.7148809994105,True,7,elevator,elevador,0.274609375,False,0.5,0.5,Visual,7,0.5,0.5,Visual,7,0,0,0,0
28,29,123469.27116699952,3901.371162999567,False,11,dinner,jantar,0.3,False,0.5,0.5,Audio,11,0.5,0.5,Audio,11,0,1,0,0
29,30,128432.92211599874,1246.321391001402,True,8,industry,industria,0.250390625,False,0.5,0.5,Visual,8,0.5,0.5,Visual,8,0,1,0,0
30,31,135494.57394099954,1335.7563339995977,True,12,investment,investimento,0.3,True,0.5,0.5,Audio,12,0.5,0.5,Audio,12,0,1,0,0
31,32,139426.830639999,1564.6195500012254,True,9,employee,empregado,0.250390625,False,0.5,0.5,Audio,9,0.5,0.5,Audio,9,0,1,0,0
32,33,143804.9224159986,1097.2887850002735,True,12,investment,investimento,0.3,False,0.5,0.5,Audio,12,0.5,0.5,Audio,12,0,1,0,0
33,34,147405.62733299885,956.9076480001968,True,10,virus,virus,0.250390625,False,0.5,0.5,Audio,10,0.5,0.5,Audio,10,0,1,0,0
34,35,150250.51918200008,1325.4291849989097,True,13,yes,sim,0.3,True,0.5,0.5,Visual,13,0.5,0.5,Visual,13,0,1,0,0
35,36,153335.996324,2145.431876999268,True,14,thank you,obrigado,0.3,True,0.5,0.5,Audio,14,0.5,0.5,Audio,14,0,1,0,0
36,37,157920.7623179991,1143.2163720001115,True,13,yes,sim,0.3,False,0.5,0.5,Visual,13,0.5,0.5,Visual,13,0,1,0,0
37,38,160599.04952599935,1299.9992820005282,True,14,thank you,obrigado,0.3,False,0.5,0.5,Audio,14,0.5,0.5,Audio,14,0,1,0,0
38,39,166036.07843999998,2014.5717420000287,True,15,goodbye,adeus,0.3,True,0.5,0.5,Visual,15,0.5,0.5,Visual,15,0,1,0,0
39,40,170437.6003489997,2490.7142419997544,False,11,dinner,jantar,0.349609375,False,0.5,0.5,Audio,11,0.5,0.5,Audio,11,0,2,0,0
40,41,173991.02125599893,1672.2416740012704,True,15,goodbye,adeus,0.3,False,0.5,0.5,Visual,15,0.5,0.5,Visual,15,0,2,0,0
41,42,177822.69589099998,1286.199139000004,True,16,smile,sorrir,0.3,True,0.5,0.5,Audio,16,0.5,0.5,Audio,16,0,2,0,0
42,43,181047.9644199986,1090.0645230012888,True,17,today,hoje,0.3,True,0.5,0.5,Visual,17,0.5,0.5,Visual,17,0,2,0,0
43,44,185603.43211799956,3224.44987100063,False,16,smile,sorrir,0.3,False,0.5,0.5,Audio,16,0.5,0.5,Audio,16,0,3,0,0
44,45,190823.513157,2360.880268999608,False,17,today,hoje,0.3,False,0.5,0.5,Visual,17,0.5,0.5,Visual,17,0,3,0,1
45,46,194245.8882020001,1374.729507999291,True,12,investment,investimento,0.250390625,False,0.5,0.5,Audio,12,0.5,0.5,Audio,12,0,3,0,1
46,47,198042.7635569995,1158.109448999283,True,18,airport,aeroporto,0.3,True,0.5,0.5,Visual,18,0.5,0.5,Visual,18,0,3,0,1
47,48,201325.74619200025,1172.472008000128,True,19,hi,oi,0.3,True,0.5,0.5,Visual,19,0.5,0.5,Visual,19,0,3,0,1
48,49,204135.2164349992,1520.6223650002212,True,18,airport,aeroporto,0.3,False,0.5,0.5,Visual,18,0.5,0.5,Visual,18,0,3,0,1
49,50,207626.0893789986,1251.161118001619,True,19,hi,oi,0.3,False,0.5,0.5,Visual,19,0.5,0.5,Visual,19,0,3,0,1
50,51,210489.724310999,1317.2216189996109,True,13,yes,sim,0.250390625,False,0.5,0.5,Visual,13,0.5,0.5,Visual,13,0,3,0,1
51,52,213292.9124599996,1177.5289229990449,True,14,thank you,obrigado,0.250390625,False,0.5,0.5,Audio,14,0.5,0.5,Audio,14,0,3,0,1
